ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,icao_code,iata_code
16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,US,Nunapitchuk,PPIT,NUP
7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,US,Tatitlek,PAKA,TEK
9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,US,Chuathbaluk,PACH,CHU
AAD,small_airport,Adado Airport,6.095802,46.6375,1001,SO,Adado,HCAD,AAD
AE-0001,small_airport,Batha Airport,24.214693,51.44989,257,SA,Batha,OEBT,
AE-0026,small_airport,Al Qaffay Airport,24.58956,51.727293,21,AE,Al Qaffay,OMQF,
AE-0091,small_airport,Lower Yasat Island Airport,24.18884,51.99655,,AE,Al-Yasat,OMAY,
AE-0128,small_airport,Liwa Air Base,23.65128,53.82444,422,AE,Zayed City,OMLW,
AE-0221,medium_airport,Sas Al Nakheel Air Base,24.44128,54.51696,14,AE,Sas Al Nakheel,OMNK,
AF-0020,small_airport,Andkhoy Airport,36.942659,65.206746,900,AF,Andkhoy,OAAK,
AF-0021,small_airport,Logar Airport,33.9865,69.023102,6333,AF,,OALG,
AF-0023,small_airport,Muqur Airport,32.879601,67.848602,6600,AF,Muqur,OAMK,
AF-0024,small_airport,Panjab Airport,34.391726,67.020445,8800,AF,Panjab,OAPJ,
AF-0025,small_airport,Taywarah Airport,33.54309,64.42542,7370,AF,Taywarah,OATW,
AG-0001,medium_airport,Burton-Nibbs International Airport,17.621194,-61.798347,28,AG,Codrington,TAPB,BBQ
AGAF,small_airport,Afutara Aerodrome,-9.191389,160.948611,23,SB,Bila,AGAF,AFT
AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,40,SB,Arona,AGAR,RNA
AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,,SB,Atoifi,AGAT,ATD
AGBA,small_airport,Barakoma Airport,-7.912779808044434,156.70599365234375,,SB,Barakoma,AGBA,VEV
AGBT,small_airport,Batuna Aerodrome,-8.56202777778,158.119305556,24,SB,Batuna Mission Station,AGBT,BPF
AGEV,small_airport,Geva Airport,-7.575829982757568,156.5970001220703,,SB,Liangia,AGEV,GEF
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,SB,Auki,AGGA,AKS
AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60,SB,Anua,AGGB,BNY
AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,SB,Choiseul Bay,AGGC,CHY
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,SB,Ballalae,AGGE,BAS
AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,9,SB,Fera Island,AGGF,FRE
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,SB,Honiara,AGGH,HIR
AGGI,small_airport,Babanakira Airport,-9.7475,159.839005,,SB,Mbambanakira,AGGI,MBU
AGGJ,small_airport,Avu Avu Airport,-9.868333,160.410556,25,SB,Avu Avu,AGGJ,AVU
AGGK,small_airport,Ngorangora Airport,-10.449700355500001,161.897994995,54,SB,Kirakira,AGGK,IRA
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,SB,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ
AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,SB,Munda,AGGM,MUA
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,SB,Gizo,AGGN,GZO
AGGO,small_airport,Mono Airport,-7.41694,155.565002,35,SB,Stirling Island,AGGO,MNY
AGGP,small_airport,Parasi Airport,-9.641670227050781,161.4250030517578,,SB,Parasi,AGGP,PRS
AGGR,small_airport,Rennell/Tingoa Airport,-11.55,160.062778,550,SB,Rennell Island,AGGR,RNL
AGGS,small_airport,Sege Airport,-8.57889,157.876007,,SB,Sege,AGGS,EGM
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,SB,Santa Ana Island,AGGT,NNB
AGGU,small_airport,Marau Airport,-9.86167,160.824997,3,SB,Marau,AGGU,RUS
AGGV,small_airport,Suavanao Airport,-7.58556,158.731003,20,SB,Suavanao,AGGV,VAO
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,SB,Yandina,AGGY,XYA
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,SB,Kagau Island,AGKG,KGE
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32,SB,Kolombangara Island,AGKU,KUE
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52,SB,Kwailabesi,AGKW,KWS
AGLM,small_airport,Lomlom Airport,-10.296828,166.327322,55,SB,Lomlom,AGLM,LLM
AGNA,small_airport,Nana Airport,-10.6758,162.2049,60,SB,Star Harbor,AGNA,NAZ
